Left,Relation,Right,L_id,R_id,Table
Track,is a single from,Album,1,2,460be2d2-3850-4179-95b4-d465d78dd34b.json
Track,is a single from,Album,2,3,ba6e93c5-1b88-4446-8703-3c7539474fd4.json
Track,is a single from,Album,1,2,0645cce9-482e-40d8-875c-6960cce554d5.json
Track,is a single from,Album,1,2,fdeba33c-943b-45d6-9a44-31068d020805.json
Track,is a single from,Album,2,3,1f646a7c-e60b-4b9c-8664-50c44f8e0cd7.json
Track,is a single from,Album,2,3,f6a3bb21-bc88-4c3a-827e-491a8d3183c1.json
Track,is a single from,Album,2,3,9500f3a9-9b80-480c-8e9f-4641782c3fc6.json
Track,is a single from,Album,2,3,7cf3fb79-5377-49cd-a4d6-81bdbadace62.json
Track,is a single from,Album,2,3,24bc1314-2099-4f0d-9ec4-e7b0cbede732.json
Track,is a single from,Album,2,3,9e608d8e-d24c-4a43-8a1c-35ccc9271732.json
Track,is a single from,Album,2,3,8681a116-682f-4a75-b08e-b480600a35d7.json
Track,is a single from,Album,2,3,99677019-8d09-47b5-9d78-9e7f59385f7e.json
Track,is a single from,Album,2,3,cf0cdb74-5086-473a-8396-78704001bde2.json
Track,is a single from,Album,2,3,ba44a877-49e7-4f84-908a-612d209a8ddf.json
Track,is a single from,Album,2,3,291e13b5-6e6d-4ada-a9ae-4bade354cedd.json
Track,is a single from,Album,2,3,5f5e910b-e9a2-461e-b49a-7f948aca3277.json
Track,is a single from,Album,2,3,814b95f7-3df2-46a0-a763-592b679ab5a2.json
Track,is a single from,Album,2,3,d81fbed4-a570-4c34-b3b4-4b8add21045b.json
Track,is a single from,Album,2,3,f89ff297-380e-4da6-8770-4cf88746fedf.json
Track,is a single from,Album,1,2,71ea4e3c-e9dd-456a-8dc2-8b223cb1719d.json
Track,is a single from,Album,2,3,3020f733-c46b-41a2-b089-c7d8ddae5d3f.json
Track,is a single from,Album,2,3,7149ecad-e49b-48e6-960f-0d0c94fa05f7.json
Track,is a single from,Album,2,3,65c4f39b-4d2e-4447-9a16-e5fe7fe42a9f.json
Track,is a single from,Album,2,3,02d95573-70d4-424c-ad3f-55eea03a0dea.json
Track,is a single from,Album,2,3,36bae7a3-13d2-4a1d-81d4-8a8a66706a3a.json
Track,is a single from,Album,2,3,d097bdef-0cfc-4bbf-b566-a8254bbd5bc8.json
Track,is a single from,Album,2,3,28339bf0-6533-4b82-8c26-498fb665907b.json
Track,is a single from,Album,2,3,25130ded-6eec-43e7-a02e-49eaf4518e9a.json
Track,is a single from,Album,2,3,befebf2f-0bd0-4e1a-adc3-3e27ba99d280.json
Track,is a single from,Album,2,3,0c4d3caa-8237-4da5-827a-681ee8ac3d5a.json
Track,is a single from,Album,2,3,cabb76c3-2d3e-4c46-a457-a06df005deb6.json
Track,is a single from,Album,1,2,5c781ce2-5d12-4a94-bcf2-e0d802bec631.json
Track,is a single from,Album,1,2,f97a45c0-23ee-455c-9304-e820f969920d.json
Track,is a single from,Album,2,3,91870794-44dc-4bff-ac50-1eca90dfcbc3.json
Track,is a single from,Album,2,3,80dfe6ba-d7ad-4171-b54a-57b943ed41e0.json
Track,is a single from,Album,1,2,50f95f87-0bbc-43f9-b120-dfc790b828bf.json
Track,is a single from,Album,2,3,adaf2620-b17a-441e-8de5-71066171aa76.json
Track,is a single from,Album,2,3,55885727-0f3b-4bad-a6ad-e845ddf54454.json
Track,is a single from,Album,2,3,5cd845b7-6370-4f25-b71a-9ea81b0a153a.json
Track,is a single from,Album,2,3,8b5b308c-1d05-43c8-96b3-d0b5918a1d69.json
Track,is a single from,Album,2,3,967fd945-0d1d-4a9f-ad3f-44b751883ce0.json
Track,is a single from,Album,2,3,4e61112c-4ef3-46df-b12c-c2f2c75bd8c0.json
Track,is a single from,Album,2,3,79b2883d-c471-4e49-8be5-f4922b1cb983.json
Track,is a single from,Album,2,3,0bf1881e-7a9f-4337-b00d-0ea1a5b9e024.json
Track,is a single from,Album,2,3,30c4b2dd-ce15-4878-967d-a3abafa362b7.json
Track,is a single from,Album,2,3,50491460-eafa-45ea-a953-584f1f5b54e3.json
Track,is a single from,Album,2,3,ceecafb0-cc00-4841-9fd9-c87658fe98e6.json
Track,is a single from,Album,2,3,8b04c255-7577-4d17-97b1-b6d0147b8a1c.json
Track,is a single from,Album,1,2,eefa95a0-197a-4ebb-99b2-cb97b3fadcba.json
Track,is a single from,Album,2,3,890461af-b0d2-4abf-a504-eaac15b19bb3.json
Track,is a single from,Album,2,3,fbbe36d9-4ba4-4f02-9e13-c43e1df8c57a.json
Track,is a single from,Album,2,3,0b026391-9885-48d0-be2b-b110dcb44fd3.json
Track,is a single from,Album,2,3,68f44836-fbe0-481c-a101-a7ebf8c19e2d.json
Track,is a single from,Album,2,3,f42b2df4-c6ef-4c5d-a86e-c3a532d9ee37.json
Track,is a single from,Album,2,3,8ae130ee-54e8-4130-9101-44f80ffb9149.json
Track,is a single from,Album,2,3,2e319c13-a24d-4570-b43f-39c3e9d3dd1a.json
Track,is a single from,Album,2,3,6e0ff369-ac2f-4ed4-96a5-8f991b157863.json
Track,is a single from,Album,2,3,df642c3b-7d3b-462e-adfc-1e6401fdea95.json
Track,is a single from,Album,2,3,af70567e-5ea3-47b8-bb5d-d208903601de.json
Track,is a single from,Album,2,3,acc5e890-c328-4514-b438-0988a5e4295c.json
Track,is a single from,Album,2,3,a45caa98-052d-415d-8931-16df5ed30061.json
Track,is a single from,Album,1,2,d02310df-099d-4dc0-80c7-7532ef0edf27.json
Track,is a single from,Album,2,3,4be6db4c-0095-49e0-a2b1-7488c3a66cf5.json
Track,is a single from,Album,1,2,e3e388a8-afc8-45dc-a36b-130d5c5247f8.json
Track,is a single from,Album,2,3,50a09623-a0e6-4065-8345-8c2a1d2c50fd.json
Track,is a single from,Album,2,3,cb250211-ddeb-48ec-a64f-0d46ce2e85ff.json
Track,is a single from,Album,2,3,40619620-24d3-4c6c-96aa-a5d587058729.json
Track,is a single from,Album,1,2,fdf4efdd-53d6-44d4-8d41-a90f939154d1.json
Track,is a single from,Album,2,3,f9240cb9-b5ea-4616-8e6e-59301362a278.json
Track,is a single from,Album,2,3,23a22338-7f39-492a-9a9d-7058650d4f6d.json
Track,is a single from,Album,2,3,68acb3f7-ef20-49c7-bc13-6d06dbacece2.json
Track,is a single from,Album,2,3,c24b1fc7-e2bc-48b8-809f-0fbcc592a711.json
Track,is a single from,Album,2,3,9474831e-05f6-4d0a-b709-5770117cef22.json
Track,is a single from,Album,2,3,c6bbe633-264f-4d08-9b59-1d62bfaa0bb6.json
Track,is a single from,Album,2,3,9ccf8e3d-14ab-4bf6-8830-4367dd213d2c.json
Track,is a single from,Album,2,3,c5b0d7e1-ee2b-4eb4-aea4-1c9dae30fb17.json
Track,is a single from,Album,2,3,841155ac-6313-4230-82c0-13913fdc38a6.json
Track,is a single from,Album,1,2,c2d31218-a57a-4b78-b931-02f279c08993.json
Track,is a single from,Album,2,3,31c6c68d-9260-4176-aade-73c367843f9a.json
Track,is a single from,Album,2,3,2ba7dc62-f757-40fb-bc61-ab76c1c27361.json
Track,is a single from,Album,2,3,35110f0e-7338-400a-bbde-4f506f4dcd58.json
Track,is a single from,Album,2,3,fe855d8d-4476-44aa-b367-b8925fc121ce.json
Track,is a single from,Album,2,3,d0a9f59d-65ad-43c7-83da-3a7f53940d32.json
Track,is a single from,Album,2,3,0ef1ce69-566b-44ef-a330-28e012c4f559.json
Track,is a single from,Album,2,3,24602f05-0612-4b82-a763-caca57253a49.json
Track,is a single from,Album,2,3,da2d9d29-3700-4658-8d45-74d2b46790d0.json
Track,is a single from,Album,2,3,1e43f52d-d6e9-4d1c-9a58-8c91851d4508.json
Track,is a single from,Album,2,3,a0f86f72-007c-494a-af37-71f4078f2d35.json
Track,is a single from,Album,2,3,81fccbb6-fa19-423d-9958-dba4ad939888.json
Track,is a single from,Album,2,3,a26f4cff-a0a5-43af-abeb-680e24bdfe62.json
Track,is a single from,Album,2,3,a7a679a4-72d8-4a07-9816-d6d316429e3f.json
